날짜,지역,배추가격,물가지수,배추 수입량,무가격,공급량
2020-03-22,광주,9181,99.94,0.0,9181,697378.0
2020-03-23,광주,9000,99.94,0.0,9000,706823.7
2020-03-24,광주,9000,99.94,0.0,9000,714141.94
2020-03-25,광주,9000,99.94,0.0,9000,718902.25
2020-03-26,광주,9000,99.94,0.0,9000,725977.3
2020-03-27,광주,9000,99.94,0.0,9000,716208.94
2020-03-28,광주,10318,99.94,0.0,10318,715696.7
2020-03-29,광주,10090,99.94,0.0,10090,709539.94
2020-03-30,광주,10000,99.94,0.0,10000,714064.8
2020-03-31,광주,9000,99.94,0.0,9000,709131.75
2020-04-01,광주,9000,99.5,0.0,9000,708254.06
2020-04-02,광주,10000,99.5,0.0,10000,698768.44
2020-04-03,광주,10000,99.5,0.0,10000,697245.4
2020-04-04,광주,10272,99.5,0.0,10272,691409.8
2020-04-05,광주,9363,99.5,0.0,9363,693931.7
2020-04-06,광주,9000,99.5,0.0,9000,687733.9
2020-04-07,광주,9000,99.5,0.0,9000,685492.0
2020-04-08,광주,9000,99.5,0.0,9000,686599.3
2020-04-09,광주,10000,99.5,0.0,10000,680599.9
2020-04-10,광주,10000,99.5,0.0,10000,682505.0
2020-04-11,광주,10590,99.5,0.0,10590,676297.94
2020-04-12,광주,9454,99.5,0.0,9454,671068.7
2020-04-13,광주,10000,99.5,0.0,10000,669205.7
2020-04-14,광주,10000,99.5,0.0,10000,665095.3
2020-04-15,광주,10500,99.5,0.0,10500,669425.75
2020-04-16,광주,10000,99.5,0.0,10000,663563.1
2020-04-17,광주,10000,99.5,0.0,10000,668034.6
2020-04-18,광주,11590,99.5,0.0,11590,660444.3
2020-04-19,광주,10454,99.5,0.0,10454,664474.6
2020-04-20,광주,10000,99.5,0.0,10000,658138.56
2020-04-21,광주,10000,99.5,0.0,10000,665612.5
2020-04-22,광주,11000,99.5,0.0,11000,665138.5
2020-04-23,광주,12000,99.5,0.0,12000,676594.6
2020-04-24,광주,13000,99.5,0.0,13000,671588.3
2020-04-25,광주,13000,99.5,0.0,13000,675039.94
2020-04-26,광주,13000,99.5,0.0,13000,669775.4
2020-04-27,광주,13000,99.5,0.0,13000,675034.06
2020-04-28,광주,15000,99.5,0.0,15000,677278.3
2020-04-29,광주,16000,99.5,0.0,16000,685372.56
2020-04-30,광주,16380,99.5,0.0,16380,682568.75
2020-05-01,광주,16857,99.44,0.0,16857,688067.1
2020-05-02,광주,17333,99.44,0.0,17333,680608.9
2020-05-03,광주,17809,99.44,0.0,17809,677019.9
2020-05-04,광주,16000,99.44,0.0,16000,669570.25
2020-05-05,광주,15000,99.44,0.0,15000,655395.8
2020-05-06,광주,14000,99.44,0.0,14000,655705.5
2020-05-07,광주,13000,99.44,0.0,13000,646219.9
2020-05-08,광주,13500,99.44,0.0,13500,650631.1
2020-05-09,광주,10727,99.44,0.0,10727,642954.44
2020-05-10,광주,11636,99.44,0.0,11636,640387.8
2020-05-11,광주,12500,99.44,0.0,12500,628143.7
2020-05-12,광주,12000,99.44,0.0,12000,641933.2
2020-05-13,광주,10000,99.44,0.0,10000,633350.8
2020-05-14,광주,10000,99.44,0.0,10000,651644.06
2020-05-15,광주,10000,99.44,0.0,10000,638153.1
2020-05-16,광주,10636,99.44,0.0,10636,640922.4
2020-05-17,광주,10181,99.44,0.0,10181,622995.7
2020-05-18,광주,10000,99.44,0.0,10000,633737.94
2020-05-19,광주,11000,99.44,0.0,11000,621462.94
2020-05-20,광주,11000,99.44,0.0,11000,646547.06
2020-05-21,광주,12000,99.44,0.0,12000,642750.8
2020-05-22,광주,12000,99.44,0.0,12000,671135.25
2020-05-23,광주,13909,99.44,0.0,13909,666378.06
2020-05-24,광주,12545,99.44,0.0,12545,694113.44
2020-05-25,광주,11000,99.44,0.0,11000,689503.44
2020-05-26,광주,10000,99.44,0.0,10000,709345.5
2020-05-27,광주,10000,99.44,0.0,10000,714786.94
2020-05-28,광주,10000,99.44,0.0,10000,731320.8
2020-05-29,광주,10000,99.44,0.0,10000,745609.6
2020-05-30,광주,13181,99.44,0.0,13181,766481.56
2020-05-31,광주,10909,99.44,0.0,10909,776351.06
2020-06-01,광주,9000,99.71,0.0,9000,785951.5
2020-06-02,광주,9000,99.71,0.0,9000,794160.5
2020-06-03,광주,8000,99.71,0.0,8000,808037.44
2020-06-04,광주,8000,99.71,0.0,8000,812436.25
2020-06-05,광주,7000,99.71,0.0,7000,832689.75
2020-06-06,광주,9000,99.71,0.0,9000,838344.5
2020-06-07,광주,9000,99.71,0.0,9000,858565.3
2020-06-08,광주,8000,99.71,0.0,8000,867374.94
2020-06-09,광주,8000,99.71,0.0,8000,882816.75
2020-06-10,광주,8000,99.71,0.0,8000,885715.9
2020-06-11,광주,8000,99.71,0.0,8000,891645.5
2020-06-12,광주,8000,99.71,0.0,8000,885802.75
2020-06-13,광주,9454,99.71,0.0,9454,888971.0
2020-06-14,광주,11272,99.71,0.0,11272,887782.06
2020-06-15,광주,10000,99.71,0.0,10000,891358.8
2020-06-16,광주,10000,99.71,0.0,10000,900705.94
2020-06-17,광주,9000,99.71,0.0,9000,899545.9
2020-06-18,광주,9000,99.71,0.0,9000,901828.6
2020-06-19,광주,9000,99.71,0.0,9000,902294.6
2020-06-20,광주,9581,99.71,0.0,9581,903162.9
2020-06-21,광주,10309,99.71,0.0,10309,909596.9
2020-06-22,광주,10100,99.71,0.0,10100,914959.2
2020-06-23,광주,10100,99.71,0.0,10100,929311.75
2020-06-24,광주,10100,99.71,0.0,10100,930126.2
2020-06-25,광주,9620,99.71,0.0,9620,942264.75
2020-06-26,광주,9620,99.71,0.0,9620,944432.56
2020-06-27,광주,8954,99.71,0.0,8954,962647.1
2020-06-28,광주,8272,99.71,0.0,8272,963397.44
2020-06-29,광주,9000,99.71,0.0,9000,969829.9
2020-06-30,광주,9000,99.71,0.0,9000,976201.06
2020-07-01,광주,9500,99.63,0.0,9500,1000929.94
2020-07-02,광주,8750,99.63,0.0,8750,1036141.2
2020-07-03,광주,8750,99.63,0.0,8750,1040338.56
2020-07-04,광주,9127,99.63,0.0,9127,1050906.4
2020-07-05,광주,8036,99.63,0.0,8036,1047076.9
2020-07-06,광주,8750,99.63,0.0,8750,1058619.2
2020-07-07,광주,9500,99.63,0.0,9500,1051183.6
2020-07-08,광주,9500,99.63,0.0,9500,1064629.2
2020-07-09,광주,9500,99.63,0.0,9500,1057653.6
2020-07-10,광주,9500,99.63,0.0,9500,1070582.2
2020-07-11,광주,10636,99.63,0.0,10636,1064276.1
2020-07-12,광주,10181,99.63,0.0,10181,1078399.9
2020-07-13,광주,10700,99.63,0.0,10700,1078237.4
2020-07-14,광주,11700,99.63,0.0,11700,1103943.8
2020-07-15,광주,12700,99.63,0.0,12700,1114175.1
2020-07-16,광주,12450,99.63,0.0,12450,1133574.8
2020-07-17,광주,11975,99.63,0.0,11975,1128339.1
2020-07-18,광주,13727,99.63,0.0,13727,1133206.9
2020-07-19,광주,14636,99.63,0.0,14636,1126402.2
2020-07-20,광주,14200,99.63,0.0,14200,1128975.8
2020-07-21,광주,15200,99.63,0.0,15200,1138039.1
2020-07-22,광주,14200,99.63,0.0,14200,1148135.4
2020-07-23,광주,13500,99.63,0.0,13500,1130773.6
2020-07-24,광주,13500,99.63,0.0,13500,1149119.6
2020-07-25,광주,13345,99.63,0.0,13345,1145618.5
2020-07-26,광주,12527,99.63,0.0,12527,1182100.5
2020-07-27,광주,14500,99.63,0.0,14500,1171634.9
2020-07-28,광주,15500,99.63,0.0,15500,1181168.6
2020-07-29,광주,15500,99.63,0.0,15500,1163579.9
2020-07-30,광주,14500,99.63,0.0,14500,1165811.0
2020-07-31,광주,13500,99.63,0.0,13500,1146825.8
2020-08-01,광주,14272,100.19,0.5,14272,1150935.9
2020-08-02,광주,13363,100.19,0.5,13363,1124576.9
2020-08-03,광주,14500,100.19,0.5,14500,1133059.4
2020-08-04,광주,12500,100.19,0.5,12500,1115063.5
2020-08-05,광주,11500,100.19,0.5,11500,1131159.4
2020-08-06,광주,13500,100.19,0.5,13500,1116019.1
2020-08-07,광주,16500,100.19,0.5,16500,1137507.9
2020-08-08,광주,17418,100.19,0.5,17418,1126424.5
2020-08-09,광주,16690,100.19,0.5,16690,1134578.8
2020-08-10,광주,17500,100.19,0.5,17500,1124732.0
2020-08-11,광주,18500,100.19,0.5,18500,1131782.5
2020-08-12,광주,19500,100.19,0.5,19500,1126961.9
2020-08-13,광주,20500,100.19,0.5,20500,1126816.1
2020-08-14,광주,20500,100.19,0.5,20500,1124631.0
2020-08-15,광주,23450,100.19,0.5,23450,1128535.2
2020-08-16,광주,22762,100.19,0.5,22762,1131179.1
2020-08-17,광주,22075,100.19,0.5,22075,1134500.4
2020-08-18,광주,19500,100.19,0.5,19500,1131812.1
2020-08-19,광주,19500,100.19,0.5,19500,1127669.6
2020-08-20,광주,20500,100.19,0.5,20500,1118768.9
2020-08-21,광주,20500,100.19,0.5,20500,1114765.4
2020-08-22,광주,24090,100.19,0.5,24090,1100959.5
2020-08-23,광주,25454,100.19,0.5,25454,1097087.2
2020-08-24,광주,24500,100.19,0.5,24500,1084564.5
2020-08-25,광주,23500,100.19,0.5,23500,1076916.6
2020-08-26,광주,25500,100.19,0.5,25500,1068478.6
2020-08-27,광주,26500,100.19,0.5,26500,1062990.0
2020-08-28,광주,27500,100.19,0.5,27500,1085063.1
2020-08-29,광주,23454,100.19,0.5,23454,1095714.9
2020-08-30,광주,20272,100.19,0.5,20272,1096100.5
2020-08-31,광주,26500,100.19,0.5,26500,1080692.2
2020-09-01,광주,23500,100.74,232.0,23500,1078078.9
2020-09-02,광주,19500,100.74,232.0,19500,1067330.9
2020-09-03,광주,22500,100.74,232.0,22500,1078265.1
2020-09-04,광주,23500,100.74,232.0,23500,1113714.2
2020-09-05,광주,24636,100.74,232.0,24636,1165163.4
2020-09-06,광주,24181,100.74,232.0,24181,1155702.5
2020-09-07,광주,23500,100.74,232.0,23500,1204881.6
2020-09-08,광주,26500,100.74,232.0,26500,1204412.8
