날짜,총거래물량,총거래물량_예측
2020-03-22,553622.5,697378.0
2020-03-23,653512.0,706823.7
2020-03-24,514520.0,714141.94
2020-03-25,477856.0,718902.25
2020-03-26,355843.0,725977.3
2020-03-27,712236.0,716208.94
2020-03-28,510280.0,715696.7
2020-03-29,722726.0,709539.94
2020-03-30,935172.0,714064.8
2020-03-31,706638.0,709131.75
2020-04-01,618424.0,708254.06
2020-04-02,501772.0,698768.44
2020-04-03,638504.0,697245.4
2020-04-04,376940.0,691409.8
2020-04-05,592152.0,693931.7
2020-04-06,807364.0,687733.9
2020-04-07,635550.0,685492.0
2020-04-08,647620.0,686599.3
2020-04-09,532932.0,680599.9
2020-04-10,747041.0,682505.0
2020-04-11,400744.0,676297.94
2020-04-12,535084.0,671068.7
2020-04-13,669424.0,669205.7
2020-04-14,722844.0,665095.3
2020-04-15,422236.0,669425.75
2020-04-16,635780.0,663563.1
2020-04-17,331192.0,668034.6
2020-04-18,790935.0,660444.3
2020-04-19,832993.5,664474.6
2020-04-20,875052.0,658138.56
2020-04-21,718964.0,665612.5
2020-04-22,560796.0,665138.5
2020-04-23,762776.0,676594.6
2020-04-24,590372.0,671588.3
2020-04-25,504208.0,675039.94
2020-04-26,650170.0,669775.4
2020-04-27,796132.0,675034.06
2020-04-28,690096.0,677278.3
2020-04-29,873684.0,685372.56
2020-04-30,1007220.0,682568.75
2020-05-01,452844.0,688067.1
2020-05-02,387597.0,680608.9
2020-05-03,624832.5,677019.9
2020-05-04,862068.0,669570.25
2020-05-05,826048.0,655395.8
2020-05-06,416592.0,655705.5
2020-05-07,429068.0,646219.9
2020-05-08,468804.0,650631.1
2020-05-09,378741.0,642954.44
2020-05-10,656162.5,640387.8
2020-05-11,933584.0,628143.7
2020-05-12,1059944.0,641933.2
2020-05-13,643164.0,633350.8
2020-05-14,528500.0,651644.06
2020-05-15,721732.0,638153.1
2020-05-16,194548.0,640922.4
2020-05-17,411356.0,622995.7
2020-05-18,628164.0,633737.94
2020-05-19,661709.0,621462.94
2020-05-20,417024.0,646547.06
2020-05-21,303408.0,642750.8
2020-05-22,939460.0,671135.25
2020-05-23,471400.0,666378.06
2020-05-24,766780.0,694113.44
2020-05-25,1062160.0,689503.44
2020-05-26,601232.0,709345.5
2020-05-27,619600.0,714786.94
2020-05-28,734588.0,731320.8
2020-05-29,870208.0,745609.6
2020-05-30,581764.0,766481.56
2020-05-31,829652.0,776351.06
2020-06-01,1077540.0,785951.5
2020-06-02,854516.0,794160.5
2020-06-03,1218696.0,808037.44
2020-06-04,981492.0,812436.25
2020-06-05,1078452.0,832689.75
2020-06-06,784572.0,838344.5
2020-06-07,787249.0,858565.3
2020-06-08,789926.0,867374.94
2020-06-09,1027837.0,882816.75
2020-06-10,637576.0,885715.9
2020-06-11,720972.0,891645.5
2020-06-12,532480.0,885802.75
2020-06-13,759439.0,888971.0
2020-06-14,529155.5,887782.06
2020-06-15,298872.0,891358.8
2020-06-16,624524.0,900705.94
2020-06-17,737792.0,899545.9
2020-06-18,663876.0,901828.6
2020-06-19,609104.0,902294.6
2020-06-20,253960.0,903162.9
2020-06-21,357644.0,909596.9
2020-06-22,461328.0,914959.2
2020-06-23,804308.0,929311.75
2020-06-24,956252.0,930126.2
2020-06-25,631700.0,942264.75
2020-06-26,609768.0,944432.56
2020-06-27,588992.0,962647.1
2020-06-28,1153552.0,963397.44
2020-06-29,1718112.0,969829.9
2020-06-30,601604.0,976201.06
2020-07-01,544486.0,1000929.94
2020-07-02,498880.0,1036141.2
2020-07-03,964624.0,1040338.56
2020-07-04,317688.0,1050906.4
2020-07-05,768078.0,1047076.9
2020-07-06,1218468.0,1058619.2
2020-07-07,1105088.0,1051183.6
2020-07-08,1010040.0,1064629.2
2020-07-09,384516.0,1057653.6
2020-07-10,885856.0,1070582.2
2020-07-11,136120.0,1064276.1
2020-07-12,404336.0,1078399.9
2020-07-13,672552.0,1078237.4
2020-07-14,648596.0,1103943.8
2020-07-15,622652.0,1114175.1
2020-07-16,890448.0,1133574.8
2020-07-17,1081126.0,1128339.1
2020-07-18,561432.0,1133206.9
2020-07-19,896495.5,1126402.2
2020-07-20,1231559.0,1128975.8
2020-07-21,508340.0,1138039.1
2020-07-22,383244.0,1148135.4
2020-07-23,1038100.0,1130773.6
2020-07-24,721120.0,1149119.6
2020-07-25,297416.0,1145618.5
2020-07-26,751012.0,1182100.5
2020-07-27,1204608.0,1171634.9
2020-07-28,958476.0,1181168.6
2020-07-29,548261.0,1163579.9
2020-07-30,757936.0,1165811.0
2020-07-31,1136885.0,1146825.8
2020-08-01,410620.0,1150935.9
2020-08-02,705328.0,1124576.9
2020-08-03,1000036.0,1133059.4
2020-08-04,1299933.0,1115063.5
2020-08-05,1122976.0,1131159.4
2020-08-06,1168888.0,1116019.1
2020-08-07,957292.0,1137507.9
2020-08-08,798624.0,1126424.5
2020-08-09,971862.0,1134578.8
2020-08-10,1145100.0,1124732.0
2020-08-11,972041.0,1131782.5
2020-08-12,683288.0,1126961.9
2020-08-13,882456.25,1126816.1
2020-08-14,1282392.0,1124631.0
2020-08-15,747392.0,1128535.2
2020-08-16,875567.0,1131179.1
2020-08-17,1003742.0,1134500.4
2020-08-18,1273508.0,1131812.1
2020-08-19,837896.0,1127669.6
2020-08-20,833147.0,1118768.9
2020-08-21,688433.0,1114765.4
2020-08-22,632172.0,1100959.5
2020-08-23,753156.0,1097087.2
2020-08-24,874140.0,1084564.5
2020-08-25,881344.0,1076916.6
2020-08-26,1085938.0,1068478.6
2020-08-27,878012.0,1062990.0
2020-08-28,491652.0,1085063.1
2020-08-29,448072.0,1095714.9
2020-08-30,743038.5,1096100.5
2020-08-31,1038005.0,1080692.2
2020-09-01,1029312.0,1078078.9
2020-09-02,917856.0,1067330.9
2020-09-03,843328.0,1078265.1
2020-09-04,326424.0,1113714.2
2020-09-05,1057212.0,1165163.4
2020-09-06,854682.0,1155702.5
2020-09-07,652152.0,1204881.6
2020-09-08,296212.0,1204412.8
2020-09-09,1349640.0,1283672.8
2020-09-10,1221844.0,1282335.5
2020-09-11,1153208.0,1348574.8
2020-09-12,959404.0,1312480.5
2020-09-13,1073718.0,1360244.5
2020-09-14,1188032.0,1317482.0
2020-09-15,936444.0,1358779.4
2020-09-16,1228176.0,1313180.0
2020-09-17,1576752.0,1341345.1
2020-09-18,1333136.0,1299731.2
2020-09-19,1170756.0,1322731.5
2020-09-20,1412726.0,1288889.5
2020-09-21,1654696.0,1312840.8
2020-09-22,1733708.0,1283892.9
2020-09-23,2154431.0,1307906.0
2020-09-24,1810996.0,1289195.5
2020-09-25,1877127.0,1322021.9
2020-09-26,1363095.0,1306880.1
2020-09-27,146240.0,1344496.5
2020-09-28,2462958.0,1326612.6
2020-09-29,2036996.0,1366620.8
2020-09-30,1024.0,1347857.1
2020-10-01,336059.8,1387275.9
2020-10-02,671095.6,1370354.8
2020-10-03,1006131.4,1411653.9
2020-10-04,1341167.2,1389202.6
2020-10-05,1676203.0,1425858.0
2020-10-06,1284800.0,1415281.1
2020-10-07,1413888.0,1480286.5
2020-10-08,1179760.0,1471463.8
2020-10-09,1051092.0,1537228.2
2020-10-10,744388.0,1546544.1
2020-10-11,1460160.0,1606342.6
2020-10-12,2175932.0,1609721.2
2020-10-13,927560.0,1641341.5
2020-10-14,1375255.0,1640799.1
