날짜,총거래물량,총거래물량_예측
2020-03-23,621425.0,420480.16
2020-03-24,507312.0,426957.16
2020-03-25,433319.0,426898.6
2020-03-26,389578.0,438744.62
2020-03-27,412206.0,441801.12
2020-03-28,380655.0,456841.56
2020-03-29,521023.0,466579.7
2020-03-30,661391.0,486899.7
2020-03-31,546780.84,489922.9
2020-04-01,447767.59,510684.12
2020-04-02,652217.85,511780.44
2020-04-03,431513.19,523724.75
2020-04-04,281990.21,523693.34
2020-04-05,316086.4042,522309.47
2020-04-06,350182.5984,505914.9
2020-04-07,474870.4414,501491.44
2020-04-08,579046.8125,487215.47
2020-04-09,637610.59,482856.28
2020-04-10,664460.4475,477441.53
2020-04-11,594004.2675,479200.6
2020-04-12,615897.6699999999,475656.3
2020-04-13,637791.0725,486220.34
2020-04-14,769812.4975,488466.5
2020-04-15,660236.7525,500992.66
2020-04-16,718332.6785,497116.53
2020-04-17,364108.5,503745.56
2020-04-18,399530.8658,504798.88
2020-04-19,535274.9103999999,512797.78
2020-04-20,671018.955,534051.7
2020-04-21,792217.16,541532.7
2020-04-22,801523.76,555205.94
2020-04-23,704535.75,528228.8
2020-04-24,384742.0,495136.9
2020-04-25,490304.72,474132.66
2020-04-26,604662.7908000001,461617.88
2020-04-27,719020.8616000001,455164.53
2020-04-28,471094.92,461238.88
2020-04-29,646724.7125,457290.3
2020-04-30,674325.45,460998.2
2020-05-01,681853.73,460262.4
2020-05-02,528981.2,468967.8
2020-05-03,669022.64375,487932.16
2020-05-04,809064.0875,508101.1
2020-05-05,796835.76,535423.0
2020-05-06,778195.0,564194.4
2020-05-07,780495.64,591795.75
2020-05-08,529661.0,607241.94
2020-05-09,696577.8,628743.3
2020-05-10,645192.4,607160.44
2020-05-11,593807.0,634018.2
2020-05-12,722982.0,640803.6
2020-05-13,798375.0,663591.9
2020-05-14,672961.0,663757.0
2020-05-15,784147.76,666545.0
2020-05-16,389799.0,658852.75
2020-05-17,436827.5,673828.9
2020-05-18,483856.0,689711.6
2020-05-19,464326.0,702607.1
2020-05-20,614358.0,718966.25
2020-05-21,588166.0,718302.56
2020-05-22,696237.0,726486.1
