날짜,총거래물량,총거래물량_예측
2020-03-23,3254897.73,1400531.9
2020-03-24,632679.56,1347585.0
2020-03-25,2647301.2300000004,1450734.0
2020-03-26,2605866.9,1378613.1
2020-03-27,3023009.32,1452366.0
2020-03-28,381089.5,1345926.9
2020-03-29,590236.59,1369640.5
2020-03-30,799383.6799999999,1308320.9
2020-03-31,1079633.75,1314226.4
2020-04-01,609212.0,1235422.2
2020-04-02,1746887.2999999998,1233714.6
2020-04-03,2036778.99,1195470.0
2020-04-04,1407404.0,1208968.5
2020-04-05,1364256.95,1225635.9
2020-04-06,1321109.9,1269744.2
2020-04-07,1649643.5,1339810.4
2020-04-08,1029815.77,1411955.8
2020-04-09,2703903.69,1437798.6
2020-04-10,2844910.18,1533995.2
2020-04-11,2253623.04,1598776.0
2020-04-12,1610128.97,1697532.1
2020-04-13,966634.9,1730477.0
2020-04-14,1731297.65,1705064.9
2020-04-15,3273772.05,1775145.5
2020-04-16,1270767.71,1725848.6
2020-04-17,2687203.0,1747985.8
2020-04-18,608082.49,1747706.8
2020-04-19,2252243.455,1683227.5
2020-04-20,3896404.42,1587309.5
2020-04-21,3802854.1,1431246.1
2020-04-22,3154501.95,1360147.6
2020-04-23,748842.9,1302605.0
2020-04-24,779046.75,1211314.5
2020-04-25,436507.01,1179198.0
2020-04-26,711274.24,1089104.1
2020-04-27,986041.47,1060946.0
2020-04-28,903915.52,976659.7
2020-04-29,643767.78,932302.75
2020-04-30,645856.94,798679.56
2020-05-01,658938.95,763716.3
2020-05-02,537772.63,642765.44
2020-05-03,614108.315,642144.5
2020-05-04,690444.0,588273.3
2020-05-05,128112.75,559068.75
2020-05-06,938788.97,561461.94
2020-05-07,673899.86,568526.5
2020-05-08,1868604.5,578028.94
2020-05-09,127553.6,558886.56
2020-05-10,494253.895,586728.7
2020-05-11,860954.19,550784.2
2020-05-12,737498.97,560943.44
2020-05-13,765023.36,547806.7
2020-05-14,585291.29,570221.44
2020-05-15,425041.36,545793.25
2020-05-16,272363.62,580070.9
2020-05-17,468212.16,544847.25
2020-05-18,664060.7000000001,568011.1
2020-05-19,656876.01,554875.2
2020-05-20,677488.64,585335.5
2020-05-21,524322.8,556843.25
2020-05-22,1063256.27,574854.75
2020-05-23,328193.21,564656.4
2020-05-24,576736.23,583074.2
2020-05-25,825279.25,580110.56
2020-05-26,940788.0,591828.0
2020-05-27,833664.03,590511.1
2020-05-28,856445.5,587349.2
2020-05-29,538229.93,598944.0
2020-05-30,399731.97,587374.1
2020-05-31,650386.86,599826.0
2020-06-01,901041.75,582718.25
2020-06-02,826668.67,582626.75
2020-06-03,959568.35,557111.4
2020-06-04,798896.37,554729.06
2020-06-05,1193271.0,526918.06
2020-06-06,209392.49,515898.34
2020-06-07,648373.73,493219.3
2020-06-08,1087354.97,480764.44
2020-06-09,723820.87,459565.7
2020-06-10,591537.0,446569.44
2020-06-11,551468.06,429073.6
2020-06-12,504328.25,413626.2
2020-06-13,238706.89,388561.62
2020-06-14,214205.045,372169.3
2020-06-15,189703.2,341562.66
2020-06-16,351945.24,335391.6
2020-06-17,681547.8425,310683.94
2020-06-18,426506.88,309864.3
2020-06-19,428732.2,293932.0
2020-06-20,173233.25,277753.38
2020-06-21,160176.125,253604.39
2020-06-22,147119.0,262856.22
2020-06-23,264634.73,252360.7
2020-06-24,243179.74,260299.56
2020-06-25,182859.83,251563.1
2020-06-26,469327.25,279140.4
2020-06-27,154688.13999999998,281712.62
2020-06-28,256203.09,256516.39
2020-06-29,357718.04,291859.62
2020-06-30,248692.8,269010.7
2020-07-01,287980.14,317263.3
2020-07-02,317516.51,327190.9
2020-07-03,582766.6,339888.22
2020-07-04,196569.68,338511.16
2020-07-05,476496.595,361165.34
2020-07-06,756423.51,355463.1
2020-07-07,295972.79000000004,375344.94
2020-07-08,646481.6799999999,370948.44
2020-07-09,188152.6,385232.56
2020-07-10,521698.65,375854.97
2020-07-11,113899.81,386981.94
2020-07-12,210032.445,376357.25
2020-07-13,306165.08,388250.8
2020-07-14,215376.0,349726.16
2020-07-15,210930.5,295468.9
2020-07-16,197797.67,308875.47
2020-07-17,686582.01,313049.62
2020-07-18,180514.2,328827.4
2020-07-19,342554.96,329233.0
2020-07-20,504595.72,338213.1
2020-07-21,177211.98,329801.25
2020-07-22,178660.89,336031.84
2020-07-23,276272.82,332138.1
2020-07-24,358616.13,331440.0
2020-07-25,166827.34,297697.2
2020-07-26,422358.99,298368.06
2020-07-27,677890.64,309232.25
2020-07-28,186282.91,316770.88
2020-07-29,201205.41,323537.97
2020-07-30,319734.48,312605.66
2020-07-31,293664.68,321182.72
2020-08-01,45609.47,313018.97
2020-08-02,195317.82000000004,323334.06
2020-08-03,345026.17000000004,313898.8
2020-08-04,330928.8,317352.7
2020-08-05,679624.4299999999,311541.66
2020-08-06,295710.43,307646.53
2020-08-07,727359.8200000001,303710.5
2020-08-08,78946.0,303853.2
2020-08-09,180647.59,292180.6
2020-08-10,282349.18,301224.16
2020-08-11,231879.46,306131.88
2020-08-12,123993.12,315317.38
2020-08-13,237323.64,320224.12
2020-08-14,422440.35,325825.56
2020-08-15,194071.98,317577.44
2020-08-16,255404.86,314216.22
2020-08-17,316737.74,305991.9
2020-08-18,293897.01,299606.06
2020-08-19,290627.85,296168.94
2020-08-20,189937.91,287091.53
2020-08-21,418905.54,299330.56
2020-08-22,123874.58,288057.47
2020-08-23,329190.215,295369.12
2020-08-24,534505.85,274746.8
2020-08-25,174315.47,276782.38
2020-08-26,394110.52,256886.47
2020-08-27,222136.39,259914.16
2020-08-28,261539.4,240258.06
2020-08-29,107308.56,238847.94
2020-08-30,128071.475,222622.05
2020-08-31,148834.39,222593.14
2020-09-01,274562.95,207995.48
2020-09-02,229810.72,203738.05
2020-09-03,381027.81,192758.6
2020-09-04,80327.64,187143.81
2020-09-05,96412.24,176559.6
2020-09-06,95288.12,210259.89
2020-09-07,94164.0,197908.22
