날짜,총거래물량,총거래물량_예측
2020-03-23,1337228.125,1099057.1
2020-03-24,667470.05,1076462.4
2020-03-25,938822.735,1087630.0
2020-03-26,788929.37,1095158.8
2020-03-27,792384.68,1074556.9
2020-03-28,152856.275,1126780.6
2020-03-29,813647.3575,1145495.8
2020-03-30,1474438.44,1210977.2
2020-03-31,1085338.86,1224967.9
2020-04-01,924944.59,1277395.8
2020-04-02,918563.5475,1277223.8
2020-04-03,924077.6875,1331474.9
2020-04-04,246988.66,1340365.0
2020-04-05,624372.515,1391437.2
2020-04-06,1001756.37,1395776.9
2020-04-07,1183103.75,1440966.0
2020-04-08,1268764.2825,1451164.2
2020-04-09,1534763.75,1487563.1
2020-04-10,831131.8125,1492324.1
2020-04-11,198675.75,1522134.5
2020-04-12,757430.075,1532432.0
2020-04-13,1316184.4,1559082.4
2020-04-14,931090.3,1572246.8
2020-04-15,965626.25,1597771.4
2020-04-16,982648.0925,1604847.1
2020-04-17,894639.0,1633965.2
2020-04-18,561468.3725,1639761.8
2020-04-19,816608.5162500001,1685104.4
2020-04-20,1071748.66,1758661.9
2020-04-21,765103.36,1848792.6
2020-04-22,1059129.25,1945304.5
2020-04-23,1100571.7425,1982701.9
2020-04-24,935691.0,1952851.1
2020-04-25,622845.96,1947665.8
2020-04-26,1214770.09875,1899275.2
2020-04-27,1806694.2375,1904030.1
2020-04-28,2066743.83,1873996.0
2020-04-29,2619302.575,1898793.2
2020-04-30,2252202.9475,1872177.2
2020-05-01,2062081.375,1891164.2
2020-05-02,1616169.54,1868845.8
2020-05-03,2399284.645,1928488.8
2020-05-04,3182399.75,1971048.6
2020-05-05,2751871.12,2090677.6
2020-05-06,3056035.11,2174616.2
2020-05-07,3229946.51,2326098.5
2020-05-08,2343178.0,2399192.2
2020-05-09,2638328.0,2495722.0
2020-05-10,3393036.375,2479333.8
2020-05-11,4147744.75,2612784.2
2020-05-12,3599986.75,2700386.8
2020-05-13,3673968.0525,2816993.8
2020-05-14,4126135.875,2852327.0
2020-05-15,5403513.4375,2953788.8
2020-05-16,3061048.3200000003,2930131.0
2020-05-17,3782477.01625,3072415.2
2020-05-18,4503905.7125,3129479.5
2020-05-19,4852389.5,3264952.8
2020-05-20,3659753.0,3329452.2
2020-05-21,3498374.0625,3462704.2
2020-05-22,5032787.25,3534192.2
2020-05-23,3107489.75,3649040.2
2020-05-24,4033019.975,3736681.0
2020-05-25,4958550.2,3829494.5
2020-05-26,5329946.0625,3928816.8
2020-05-27,4007974.25,4036886.0
2020-05-28,4239149.0675,4128458.2
2020-05-29,5414700.5,4205787.5
2020-05-30,5068444.5625,4280969.5
