날짜,산지,품종,도매지역,총거래물량
2020-01-02,강원,월동배추,광주,94000.0
2020-01-02,광주,가을배추,광주,3000.0
2020-01-02,광주,봄배추,광주,40000.0
2020-01-02,광주,월동배추,광주,9784.0
2020-01-02,전남,가을배추,광주,14800.0
2020-01-02,전남,봄배추,광주,1900.0
2020-01-02,전남,월동배추,광주,196112.0
2020-01-02,전북,월동배추,광주,1920.0
2020-01-03,강원,가을배추,광주,97800.0
2020-01-03,강원,봄배추,광주,99100.0
2020-01-03,강원,월동배추,광주,90400.0
2020-01-03,강원,월동배추,부산,43354.66
2020-01-03,강원,월동배추,서울,234000.0
2020-01-03,경기,고냉지배추,부산,3904.0
2020-01-03,경기,봄배추,대전,3744.0
2020-01-03,경기,월동배추,서울,418377.8725
2020-01-03,경남,가을배추,광주,97900.0
2020-01-03,경남,월동배추,대구,920.0
2020-01-03,경남,월동배추,부산,190256.0
2020-01-03,경남,월동배추,서울,143.0
2020-01-03,경북,봄배추,대전,32.0
2020-01-03,경북,월동배추,대구,2206.0
2020-01-03,경북,월동배추,부산,1092.0
2020-01-03,경북,월동배추,서울,683118.0
2020-01-03,광주,가을배추,광주,4800.0
2020-01-03,광주,봄배추,광주,108500.0
2020-01-03,광주,월동배추,광주,2240.0
2020-01-03,광주,월동배추,부산,3440.0
2020-01-03,대구,월동배추,대구,8041.0
2020-01-03,대구,월동배추,부산,8080.0
2020-01-03,대전,가을배추,대전,37800.0
2020-01-03,대전,월동배추,대전,14024.0
2020-01-03,부산,월동배추,부산,253010.56
2020-01-03,서울,봄배추,대전,328.0
2020-01-03,서울,월동배추,광주,768.0
2020-01-03,서울,월동배추,대전,5590.0
2020-01-03,서울,월동배추,부산,3764.0
2020-01-03,서울,월동배추,서울,31.0
2020-01-03,울산,월동배추,부산,148.0
2020-01-03,전남,가을배추,광주,104200.0
2020-01-03,전남,가을배추,대구,90500.0
2020-01-03,전남,가을배추,대전,144700.0
2020-01-03,전남,가을배추,서울,193000.0
2020-01-03,전남,고냉지배추,부산,10905.6
2020-01-03,전남,봄배추,광주,112800.0
2020-01-03,전남,봄배추,대전,314652.0
2020-01-03,전남,월동배추,광주,426304.0
2020-01-03,전남,월동배추,대구,4614.0
2020-01-03,전남,월동배추,대전,960.0
2020-01-03,전남,월동배추,부산,1920.0
2020-01-03,전남,월동배추,서울,6363410.0
2020-01-03,전북,월동배추,서울,22464.0
2020-01-03,제주,월동배추,서울,255620.0
2020-01-03,충남,가을배추,대전,8100.0
2020-01-03,충남,봄배추,대전,19052.0
2020-01-03,충남,월동배추,대전,2000.0
2020-01-03,충남,월동배추,서울,152440.0
2020-01-04,강원,월동배추,광주,99200.0
2020-01-04,강원,월동배추,부산,32000.0
2020-01-04,강원,월동배추,서울,10000.0
2020-01-04,경기,고냉지배추,부산,3136.0
2020-01-04,경기,봄배추,광주,102000.0
2020-01-04,경기,봄배추,대전,3284.0
2020-01-04,경기,월동배추,서울,2668.3358
2020-01-04,경남,봄배추,대전,5.0
2020-01-04,경남,월동배추,대구,788.0
2020-01-04,경남,월동배추,부산,102995.25
2020-01-04,경남,월동배추,서울,615.0
2020-01-04,경북,고냉지배추,부산,8470.0
2020-01-04,경북,봄배추,대전,28.0
